자치구,브랜드,지점명,소재지,latitude,longitude
서초구,GS25,반포제일(반포1동),서초구 사평대로53길 103,37.5087269,127.0197817
서초구,GS25,반포중앙점(반포1동),서초구 사평대로55길 37,37.5056816,127.0220333
서초구,GS25,반포타운(반포1동),서초구 사평대로53길 36,37.5060615,127.0213503
서초구,미니스톱,서초반포점(반포1동),서초구 사평대로57길 44,37.5063968,127.0227366
서초구,세븐일레븐,반포3호점(반포3동),서초구 잠원동76-7,37.505789,127.0012603
서초구,미니스톱,반포삼공점(반포4동),서초구 반포4동 58-7,37.4996287,127.0024768
서초구,세븐일레븐,반포서래점(반포4동),서초구 서래로6길4 가나빌딩 1층,37.4977009,126.9985152
서초구,GS25,구반포역(반포본동),"서초구 신반포로3길 7, E블록 2-1호(반포동 817)",37.5016398,126.9861934
서초구,세븐일레븐,반포2호점(반포본동),서울시 서초구 신반포로 41,37.5042353,126.9921817
서초구,GS25,방배브라운,서울 서초구 방배로 146 (방배동 898-6),37.486944,126.994391
서초구,세븐일레븐,방배17호점(방배2동),서초구 도구로 77(방배동 957-3),37.4834062,126.9866645
