사업장명,소재지전체주소,도로명전체주소,주소,latitude,longitude,구
화,서울특별시 용산구 한남동 28-11번지 (지하1층),"서울특별시 용산구 독서당로 86 (한남동,(지하1층))",서울특별시 용산구 한남동 28-11,37.5358098,126.9996788,용산구
연예인,서울특별시 용산구 원효로2가 91-20 (지하1층),"서울특별시 용산구 원효로41길 62 (원효로2가,(지하1층))",서울특별시 용산구 원효로2가 91-20,37.5418343,126.9731936,용산구
(주)아울라운지,서울특별시 용산구 이태원동 123-5번지 (지하1층),"서울특별시 용산구 이태원로27가길 9 (이태원동,(지하1층))",서울특별시 용산구 이태원동 123-5,37.5348248,126.9956688,용산구
청춘노래,서울특별시 용산구 용문동 8-24번지,"서울특별시 용산구 새창로 115 (용문동, 8-24 지하1층)",서울특별시 용산구 용문동 8-24,37.5275799,126.9994275,용산구
세븐틴가요주점,"서울특별시 용산구 서계동 264-15번지 ,14(지층)","서울특별시 용산구 만리재로 142-1 (서계동,,14(지층))",서울특별시 용산구 서계동 264-15,37.5349185,126.9636978,용산구
그랜드 하얏트 서울 파리스빠,서울특별시 용산구 한남동 747-7 (지층),"서울특별시 용산구 소월로 322 (한남동,(지층))",서울특별시 용산구 한남동 747-7,37.5346496,127.0058142,용산구
더클럽바,서울특별시 용산구 이촌동 302-46번지 (지하1층),"서울특별시 용산구 이촌로64길 26 (이촌동,(지하1층))",서울특별시 용산구 이촌동 302-46,37.5265794,127.0018302,용산구
발리,서울특별시 용산구 한강로1가 243-7번지 지하1층,"서울특별시 용산구 한강대로 168-2 (한강로1가, 243-7 지하1층)",서울특별시 용산구 한강로1가 243-7,37.5344024,126.958558,용산구
궁,서울특별시 용산구 청파동3가 21-15 (지층),"서울특별시 용산구 청파로47길 9 (청파동3가,(지층))",서울특별시 용산구 청파동3가 21-15,37.53386980000001,126.9947077,용산구
파티스테이션(P.S),서울특별시 용산구 한남동 28-12번지 (지하1층),"서울특별시 용산구 독서당로 84 (한남동,(지하1층))",서울특별시 용산구 한남동 28-12,37.5446858,126.9690454,용산구
팡팡,서울특별시 용산구 한강로2가 93-3 (지하1층),"서울특별시 용산구 한강대로 144 (한강로2가,(지하1층))",서울특별시 용산구 한강로2가 93-3,37.530912,126.9700262,용산구
샤방샤방,서울특별시 용산구 원효로2가 91-1 지하1층,"서울특별시 용산구 원효로41길 60 (원효로2가, 지하1층)",서울특별시 용산구 원효로2가 91-1,37.5340805,127.0057483,용산구
보스노래,서울특별시 용산구 남영동 127-1 (지층),"서울특별시 용산구 한강대로 258 (남영동,(지층))",서울특별시 용산구 남영동 127-1,37.5325913,127.0062295,용산구
호박,서울특별시 용산구 한남동 657-98번지,"서울특별시 용산구 대사관로31길 12 (한남동, 657-98 지하1층)",서울특별시 용산구 한남동 657-98,37.5331902,127.0049506,용산구
